Date,Description,Transaction_Type,Amount,Balance,Category
2026-03-06,Gift Received,Credit,14333,125036,Income
2026-03-07,Train Ticket,Debit,620,124416,Travel
2026-03-08,Dividend Credit,Credit,13004,137420,Income
2026-03-09,Train Ticket,Debit,3934,133486,Travel
2026-03-10,Medical Store,Debit,2159,131327,Healthcare
2026-03-11,Insurance Premium,Debit,194,131133,Insurance
2026-03-12,Gift Received,Credit,24116,155249,Income
2026-03-13,Swiggy Order,Debit,4498,150751,Food
2026-03-14,UPI Transfer,Debit,2886,147865,Transfer
2026-03-15,Swiggy Order,Debit,2504,145361,Food
2026-03-16,ATM Withdrawal,Debit,1395,143966,Cash
2026-03-17,Uber Ride,Debit,126,143840,Transport
2026-03-18,UPI Transfer,Debit,4200,139640,Transfer
2026-03-19,Petrol Pump,Debit,4258,135382,Transport
2026-03-20,Swiggy Order,Debit,2544,132838,Food
2026-03-21,Hotel Booking,Debit,4258,128580,Travel
2026-03-22,Train Ticket,Debit,1729,126851,Travel
2026-03-23,Electricity Bill,Debit,3163,123688,Utilities
2026-03-24,Petrol Pump,Debit,4518,119170,Transport
2026-03-25,Medical Store,Debit,104,119066,Healthcare
2026-03-26,Train Ticket,Debit,2755,116311,Travel
2026-03-27,Flipkart Purchase,Debit,259,116052,Shopping
2026-03-28,Swiggy Order,Debit,3073,112979,Food
2026-03-29,Restaurant Dinner,Debit,2061,110918,Food
2026-03-30,Freelance Payment,Credit,8392,119310,Income
2026-03-31,Interest Credit,Credit,3080,122390,Income
2026-04-01,Amazon Purchase,Debit,4081,118309,Shopping
2026-04-02,Amazon Purchase,Debit,4463,113846,Shopping
2026-04-03,Electricity Bill,Debit,1151,112695,Utilities
2026-04-04,Gift Received,Credit,16074,128769,Income
2026-04-05,Insurance Premium,Debit,1452,127317,Insurance
2026-04-06,UPI Transfer,Debit,4422,122895,Transfer
2026-04-07,Train Ticket,Debit,3566,119329,Travel
2026-04-08,Netflix Subscription,Debit,4517,114812,Entertainment
2026-04-09,Netflix Subscription,Debit,2653,112159,Entertainment
2026-04-10,Dividend Credit,Credit,22509,134668,Income
2026-04-11,Hotel Booking,Debit,3159,131509,Travel
2026-04-12,Uber Ride,Debit,4339,127170,Transport
2026-04-13,Uber Ride,Debit,1091,126079,Transport
2026-04-14,Grocery Store,Debit,1940,124139,Groceries
2026-04-15,Amazon Purchase,Debit,2869,121270,Shopping
2026-04-16,Salary Credit,Credit,19777,141047,Income
2026-04-17,Insurance Premium,Debit,1985,139062,Insurance
2026-04-18,Interest Credit,Credit,7716,146778,Income
2026-04-19,Salary Credit,Credit,2826,149604,Income
2026-04-20,Hotel Booking,Debit,582,149022,Travel
2026-04-21,Grocery Store,Debit,652,148370,Groceries
2026-04-22,Freelance Payment,Credit,28668,177038,Income
2026-04-23,Mobile Recharge,Debit,680,176358,Utilities
2026-04-24,Medical Store,Debit,2049,174309,Healthcare
2026-04-25,UPI Transfer,Debit,4076,170233,Transfer
2026-04-26,Netflix Subscription,Debit,4517,165716,Entertainment
2026-04-27,Electricity Bill,Debit,4777,160939,Utilities
2026-04-28,Interest Credit,Credit,15988,176927,Income
2026-04-29,Grocery Store,Debit,3974,172953,Groceries
2026-04-30,ATM Withdrawal,Debit,1659,171294,Cash
2026-05-01,Swiggy Order,Debit,894,170400,Food
2026-05-02,Gift Received,Credit,14624,185024,Income
2026-05-03,Stock Investment,Debit,3569,181455,Investment
2026-05-04,ATM Withdrawal,Debit,3925,177530,Cash
2026-05-05,Freelance Payment,Credit,22564,200094,Income
2026-05-06,Hotel Booking,Debit,906,199188,Travel
2026-05-07,Freelance Payment,Credit,13693,212881,Income
2026-05-08,Mobile Recharge,Debit,995,211886,Utilities
2026-05-09,Grocery Store,Debit,1669,210217,Groceries
2026-05-10,Netflix Subscription,Debit,4493,205724,Entertainment
